iter	RMSE
0	14.29605245
1	13.44059118
2	12.59731829
3	11.8185978
4	11.15930579
5	10.61036003
6	10.08900261
7	9.642534678
8	9.22847578
9	8.815626256
10	8.48187076
11	8.2033742
12	7.920251086
13	7.701781068
14	7.443163488
15	7.204384483
16	7.007131305
17	6.83552028
18	6.666601387
19	6.528991236
20	6.419578079
21	6.308076639
22	6.215552951
23	6.129457063
24	6.052322733
25	5.995862652
26	5.927044643
27	5.877093673
28	5.834166367
29	5.775617097
30	5.728217674
31	5.688909044
32	5.653504852
33	5.622107497
34	5.583197078
35	5.547314101
36	5.523818383
37	5.509830185
38	5.483025057
39	5.462335559
40	5.440356947
41	5.423712887
42	5.398598601
43	5.385322986
44	5.367057176
45	5.342419129
46	5.326941409
47	5.313935703
48	5.290660797
49	5.267425964
50	5.248043352
51	5.224977042
52	5.222192399
53	5.200575313
54	5.192905464
55	5.17953683
56	5.17202349
57	5.158752581
58	5.149502467
59	5.137568356
60	5.129850002
61	5.118890484
62	5.105499394
63	5.092472718
64	5.090450775
65	5.073246347
66	5.071466501
67	5.051698653
68	5.035380256
69	5.018362488
70	5.007090691
71	4.99602854
72	4.983390902
73	4.973399449
74	4.964731408
75	4.958825192
76	4.94539476
77	4.94000087
78	4.931154128
79	4.919697233
80	4.90868907
81	4.895611309
82	4.884381094
83	4.872891578
84	4.860997927
85	4.856051041
86	4.844808568
87	4.830942234
88	4.824496307
89	4.817965151
90	4.808195344
91	4.797449064
92	4.794323817
93	4.768732889
94	4.7615011
95	4.749009486
96	4.738640427
97	4.729568855
98	4.727551994
99	4.724969525
