iter	Passed	Remaining
0	50	50201
1	50	25294
2	51	16952
3	51	12810
4	51	10343
5	52	8717
6	53	7605
7	64	8014
8	65	7216
9	66	6568
10	67	6074
11	70	5796
12	70	5388
13	71	5046
14	72	4740
15	72	4463
16	73	4228
17	73	4023
18	74	3843
19	75	3682
20	75	3540
21	76	3400
22	76	3269
23	77	3155
24	78	3056
25	78	2959
26	79	2867
27	80	2786
28	80	2704
29	81	2627
30	81	2550
31	81	2479
32	82	2413
33	82	2350
34	83	2290
35	83	2236
36	83	2182
37	84	2134
38	84	2085
39	84	2039
40	85	1995
41	85	1953
42	86	1934
43	87	1900
44	87	1863
45	88	1826
46	88	1791
47	88	1758
48	88	1726
49	89	1698
50	89	1672
51	90	1646
52	90	1621
53	91	1598
54	91	1575
55	92	1552
56	92	1530
57	93	1512
58	93	1492
59	94	1485
60	95	1468
61	95	1452
62	96	1437
63	97	1424
64	97	1408
65	98	1392
66	98	1376
67	99	1359
68	99	1343
69	99	1328
70	100	1315
71	100	1301
72	101	1288
73	101	1274
74	102	1260
75	102	1247
76	103	1235
77	103	1222
78	103	1209
79	104	1196
80	104	1184
81	104	1171
82	104	1158
83	105	1147
84	105	1137
85	106	1126
86	106	1116
87	106	1105
88	106	1095
89	107	1085
90	107	1075
91	107	1065
92	108	1057
93	108	1050
94	109	1043
95	110	1036
96	110	1028
97	110	1021
98	111	1013
99	111	1006
100	112	1001
101	112	994
102	113	986
103	113	978
104	114	974
105	114	967
106	115	960
107	115	953
108	115	947
109	116	941
110	116	936
111	117	929
112	117	922
113	117	915
114	118	909
115	118	902
116	118	895
117	119	890
118	119	884
119	119	878
120	120	872
121	120	866
122	120	861
123	121	856
124	121	851
125	122	846
126	122	840
127	122	835
128	122	830
129	123	825
130	123	821
131	124	817
132	124	813
133	125	810
134	125	806
135	126	803
136	126	798
137	127	794
138	128	795
139	128	791
140	129	788
141	129	784
142	130	780
143	134	797
144	134	793
145	134	789
146	135	786
147	136	783
148	136	779
149	136	776
150	137	772
151	138	774
152	139	772
153	139	767
154	140	763
155	140	759
156	140	755
157	141	751
158	141	747
159	141	742
160	141	738
161	142	734
162	142	731
163	142	727
164	143	724
165	143	721
166	143	717
167	144	714
168	144	711
169	145	708
170	145	706
171	146	704
172	146	701
173	147	699
174	147	696
175	148	694
176	148	690
177	148	687
178	149	687
179	150	685
180	150	682
181	151	679
182	151	676
183	152	674
184	152	671
185	152	668
186	153	665
187	153	662
188	153	659
189	154	656
190	154	653
191	154	651
192	155	648
193	155	645
194	156	644
195	156	641
196	156	638
197	157	637
198	157	635
199	158	633
200	158	630
201	159	628
202	159	626
203	159	623
204	160	621
205	160	618
206	160	616
207	161	614
208	162	613
209	162	610
210	162	609
211	163	607
212	163	605
213	164	603
214	164	602
215	165	600
216	165	598
217	166	596
218	166	594
219	167	592
220	167	590
221	167	587
222	168	585
223	168	583
224	168	581
225	169	579
226	171	583
227	171	582
228	172	580
229	172	578
230	173	576
231	174	576
232	174	575
233	175	574
234	175	572
235	176	570
236	176	569
237	177	567
238	177	566
239	178	564
240	178	562
241	178	560
242	179	558
243	179	556
244	180	555
245	180	553
246	180	551
247	181	549
248	181	547
249	182	546
250	182	544
251	182	542
252	183	540
253	183	538
254	183	537
255	184	535
256	184	534
257	185	532
258	185	530
259	185	529
260	186	527
261	186	525
262	187	524
263	187	522
264	188	521
265	188	519
266	188	518
267	189	516
268	189	515
269	189	513
270	190	512
271	190	511
272	191	510
273	192	509
274	192	507
275	193	506
276	193	505
277	194	503
278	194	502
279	194	500
280	195	499
281	195	498
282	196	497
283	196	495
284	196	494
285	197	492
286	197	491
287	198	489
288	198	488
289	199	487
290	199	485
291	199	484
292	200	483
293	200	482
294	201	481
295	201	480
296	202	478
297	202	478
298	203	476
299	204	476
300	204	475
301	209	484
302	210	484
303	211	483
304	211	482
305	212	481
306	212	480
307	213	479
308	213	478
309	214	477
310	215	476
311	215	475
312	215	474
313	216	472
314	217	472
315	217	470
316	217	469
317	218	468
318	218	467
319	219	466
320	219	464
321	220	463
322	220	462
323	221	461
324	221	461
325	222	459
326	223	459
327	223	457
328	224	456
329	224	456
330	225	454
331	225	454
332	226	453
333	226	452
334	228	453
335	228	452
336	229	451
337	229	450
338	230	449
339	230	448
340	231	447
341	231	446
342	232	444
343	232	443
344	233	442
345	233	441
346	234	440
347	234	439
348	234	437
349	235	437
350	235	435
351	236	434
352	236	433
353	237	432
354	237	431
355	237	430
356	238	429
357	238	428
358	239	427
359	239	426
360	240	425
361	240	423
362	241	423
363	243	425
364	243	424
365	244	423
366	248	428
367	253	434
368	253	433
369	254	432
370	254	431
371	255	430
372	255	429
373	255	428
374	256	427
375	256	426
376	257	425
377	257	424
378	258	423
379	258	422
380	259	421
381	259	420
382	261	420
383	261	419
384	261	418
385	262	417
386	263	416
387	263	415
388	263	414
389	264	413
390	264	412
391	265	411
392	265	410
393	266	409
394	266	408
395	266	407
396	267	406
397	267	405
398	268	404
399	268	403
400	269	402
401	269	401
402	270	400
403	270	399
404	270	397
405	271	396
406	271	395
407	272	395
408	273	394
409	273	393
410	274	392
411	274	392
412	275	391
413	275	390
414	276	389
415	276	388
416	277	387
417	277	386
418	278	385
419	278	384
420	279	384
421	279	383
422	280	382
423	281	381
424	281	380
425	281	379
426	282	378
427	282	377
428	283	376
429	283	376
430	284	375
431	284	374
432	285	373
433	286	373
434	286	372
435	287	371
436	288	371
437	288	370
438	289	370
439	290	370
440	291	369
441	292	369
442	293	368
443	293	367
444	294	367
445	295	366
446	295	365
447	296	364
448	296	363
449	296	362
450	297	361
451	298	361
452	298	360
453	299	360
454	300	359
455	300	358
456	301	357
457	301	357
458	302	356
459	302	355
460	303	354
461	303	353
462	304	352
463	304	351
464	304	350
465	305	349
466	305	349
467	306	348
468	306	347
469	307	346
470	307	345
471	308	344
472	308	343
473	309	343
474	309	342
475	310	341
476	310	340
477	311	339
478	311	339
479	312	338
480	312	337
481	312	336
482	313	335
483	313	334
484	314	333
485	315	333
486	315	332
487	315	331
488	316	330
489	316	329
490	317	329
491	318	328
492	318	327
493	318	326
494	319	325
495	319	324
496	320	323
497	320	323
498	321	322
499	321	321
500	323	321
501	323	321
502	324	320
503	325	320
504	326	319
505	326	319
506	327	318
507	327	317
508	328	316
509	328	315
510	329	315
511	329	314
512	330	314
513	331	313
514	331	312
515	332	311
516	332	310
517	333	310
518	333	309
519	334	308
520	334	307
521	335	306
522	335	306
523	336	305
524	336	304
525	336	303
526	337	302
527	337	301
528	338	301
529	339	300
530	339	299
531	340	299
532	340	298
533	340	297
534	341	296
535	341	296
536	342	295
537	342	294
538	343	293
539	343	292
540	344	291
541	344	291
542	345	290
543	346	290
544	346	289
545	346	288
546	347	287
547	347	286
548	348	286
549	348	285
550	349	284
551	349	283
552	349	282
553	350	282
554	350	281
555	351	280
556	351	279
557	352	278
558	352	278
559	353	277
560	353	276
561	353	275
562	354	274
563	354	274
564	355	273
565	355	272
566	356	271
567	356	271
568	357	270
569	357	269
570	358	269
571	358	268
572	359	267
573	363	269
574	364	269
575	365	268
576	365	268
577	366	267
578	366	266
579	367	265
580	367	265
581	368	264
582	368	263
583	369	262
584	369	262
585	370	261
586	370	260
587	370	259
588	371	259
589	371	258
590	372	257
591	372	256
592	373	256
593	373	255
594	373	254
595	374	253
596	374	252
597	375	252
598	375	251
599	376	250
600	376	249
601	377	249
602	377	248
603	378	247
604	378	247
605	378	246
606	379	245
607	379	244
608	380	244
609	380	243
610	381	242
611	381	242
612	382	241
613	383	240
614	383	240
615	384	239
616	384	238
617	384	237
618	385	237
619	385	236
620	386	235
621	386	235
622	387	234
623	387	233
624	387	232
625	388	231
626	388	231
627	389	230
628	389	229
629	389	229
630	390	228
631	391	227
632	391	227
633	392	226
634	392	225
635	393	224
636	393	224
637	394	223
638	394	222
639	394	222
640	395	221
641	395	220
642	396	220
643	397	219
644	397	218
645	398	218
646	398	217
647	399	216
648	399	216
649	400	215
650	400	214
651	401	214
652	401	213
653	402	212
654	402	212
655	403	211
656	403	210
657	403	209
658	404	209
659	404	208
660	405	207
661	405	207
662	405	206
663	406	205
664	406	204
665	407	204
666	407	203
667	408	202
668	408	202
669	409	201
670	409	200
671	410	200
672	410	199
673	411	198
674	411	198
675	412	197
676	412	196
677	413	196
678	413	195
679	414	194
680	414	194
681	415	193
682	416	193
683	416	192
684	417	191
685	417	191
686	418	190
687	418	189
688	419	189
689	419	188
690	420	187
691	420	187
692	421	186
693	421	185
694	421	185
695	422	184
696	422	183
697	423	183
698	423	182
699	423	181
700	424	180
701	424	180
702	425	179
703	425	178
704	426	178
705	426	177
706	427	176
707	427	176
708	428	175
709	428	175
710	429	174
711	429	173
712	430	173
713	430	172
714	430	171
715	431	171
716	432	170
717	432	169
718	432	169
719	433	168
720	433	167
721	434	167
722	435	166
723	435	166
724	436	165
725	437	165
726	438	164
727	439	164
728	440	163
729	441	163
730	442	162
731	442	162
732	443	161
733	443	160
734	444	160
735	444	159
736	445	159
737	446	158
738	447	157
739	447	157
740	447	156
741	448	155
742	448	155
743	449	154
744	449	153
745	450	153
746	450	152
747	451	151
748	451	151
749	451	150
750	452	149
751	452	149
752	453	148
753	453	147
754	454	147
755	454	146
756	454	146
757	455	145
758	455	144
759	456	144
760	456	143
761	457	142
762	457	142
763	457	141
764	458	140
765	458	140
766	459	139
767	459	138
768	459	138
769	460	137
770	460	136
771	461	136
772	461	135
